MONTH,YEAR,TEMP_mean,TEMP_median,TEMP_var,TEMP_min,TEMP_max,PRCP_mean,PRCP_median,PRCP_min,PRCP_max,PRCP_var
1,1950,37.73331814038286,38.9,420.08186123046147,29.48305797689033,48.27153634417372,0.01252304505437597,0.0,0.0,2.68,0.008937346035060635
2,1950,39.67514686957981,39.8,268.0114189928065,31.05580549493593,50.60527406080287,0.007515773613334589,0.0,0.0,1.65,0.004571752317566354
3,1950,42.97396018938044,42.6,233.97976431304767,33.825674849750435,54.37051987767585,0.009918735488480086,0.0,0.0,2.09,0.006682756635643027
4,1950,51.947307692307696,51.6,167.2496376217436,41.94180284659989,63.91847728591779,0.007516761435967072,0.0,0.0,2.44,0.004622249230997828
5,1950,62.561042425486065,62.6,128.58783888866756,52.45174502155615,74.23204207285788,0.008324119151745192,0.0,0.0,4.53,0.00732302878857662
6,1950,70.4855309218203,71.1,99.65877965498719,59.8582156883558,82.18661254377587,0.007221868026777176,0.0,0.0,3.03,0.006118399164693815
7,1950,73.02174603988311,73.4,58.33997310211607,63.21535346285948,84.20948890142,0.01512970340858787,0.0,0.0,3.82,0.017777066139942108
8,1950,72.21854301240643,72.4,65.21544439848331,61.58518898405047,84.19960520918787,0.008587096286211331,0.0,0.0,4.09,0.009570908241953604
9,1950,65.98558764200021,65.9,99.5726260574827,56.7560186905963,77.06033347493627,0.01079447731755424,0.0,0.0,9.76,0.021922100332445262
10,1950,60.256920925897155,61.0,105.43058169436847,50.06012848409491,72.58919997926064,0.006212058783134185,0.0,0.0,5.75,0.007100464058957315
11,1950,45.212010666666664,45.1,212.69123554311676,35.95542811416378,56.816890482050184,0.007645777885313332,0.0,0.0,2.91,0.005956442995359897
12,1950,37.12026133663878,36.8,218.62047215937358,28.937310195227763,47.275118949110464,0.0091722273840696,0.0,0.0,2.6,0.006625434011519179
1,1951,35.90692043324307,36.8,270.235462702413,27.46907254074884,46.293076079578086,0.007734478788415552,0.0,0.0,1.14,0.0038785339209395676
2,1951,38.56315456324088,38.8,274.7096183384272,29.835368590665823,49.88917171717172,0.009732271375107956,0.0,0.0,2.99,0.00820391104003231
3,1951,43.648851050615875,43.0,233.92267064299597,34.771092132505174,54.76389249208738,0.009204128039181388,0.0,0.0,1.89,0.005088809373319055
4,1951,53.35325188070213,52.8,133.08591715387305,43.54538420490928,65.08781243324076,0.009397037165381617,0.0,0.0,2.99,0.006492116043897995
5,1951,63.6110327198364,63.6,100.78172090286098,52.685800480646314,75.80681701953564,0.007804841149773071,0.0,0.0,3.7,0.007332574059321187
6,1951,69.73845625528318,69.9,101.72989685062375,59.57913737512553,80.96435402906208,0.011934854525405037,0.0,0.0,2.32,0.01003240294946348
7,1951,75.47731276411588,76.1,69.94210033440405,65.0205584144291,87.16080248485157,0.009890823026416248,0.0,0.0,2.76,0.00945790210559121
8,1951,74.03881394756935,74.3,87.75720496665535,63.7626553269505,85.79646220412319,0.008498536804982366,0.0,0.0,2.87,0.007412446024423533
9,1951,67.2456286733837,67.2,111.08823699126147,57.01810254255096,79.51133641521328,0.009974843726177771,0.0,0.0,3.82,0.01191469784999845
10,1951,58.13721838847169,58.4,149.09364948049208,48.73881642389484,69.76398051354917,0.008263702845557889,0.0,0.0,2.64,0.006818679478221319
11,1951,42.92907509634413,42.1,189.10750780551678,34.556994063118424,53.54821223809027,0.010548471472944255,0.0,0.0,3.03,0.009429724495742392
12,1951,37.58049942335657,38.2,321.3306140921523,29.62869822485207,47.25123543591804,0.010120131052056789,0.0,0.0,2.17,0.0054186621850379054
1,1952,38.13391644779226,37.6,305.49425154044854,30.268923809051703,47.8572981289394,0.009219305086214366,0.0,0.0,2.13,0.005680716285860208
2,1952,40.38904102319163,39.8,190.7575579541063,32.24239770737144,50.40050979767405,0.008143308191545342,0.0,0.0,2.28,0.005596227860224099
3,1952,43.16337442447646,42.8,203.2184941280932,34.78494974998762,53.32430517711172,0.012102252727912707,0.0,0.0,2.13,0.008190343851300718
4,1952,55.15447208800247,55.5,116.33261635369057,44.862786632390744,66.96399691358025,0.008655571746299563,0.0,0.0,2.6,0.006624016887000474
5,1952,63.629814437092676,63.5,102.07121802029117,53.01767252102094,75.32766804318624,0.010492170022371364,0.0,0.0,3.07,0.008894527075702605
6,1952,73.37760349036513,74.9,105.81102652322012,62.73885337075732,85.01660692951015,0.008160338806746414,0.0,0.0,3.46,0.008833901767636753
7,1952,76.55350219044261,77.8,66.15598569456388,65.61683622078968,88.56665659465176,0.00942813433379471,0.0,0.0,5.87,0.011701151890901979
8,1952,74.82056524353578,75.1,73.40357003377906,64.48731264725049,86.54209471310449,0.010568138488522841,0.0,0.0,3.11,0.010201027102521392
9,1952,68.70140605686032,69.1,84.82881646225323,57.406578744011135,81.43564805275088,0.006670209938878555,0.0,0.0,4.33,0.008729274528080276
10,1952,56.0668196557745,55.8,119.70000208306959,44.06536561018218,70.04560543945605,0.003510220579743619,0.0,0.0,6.38,0.004779841409652751
11,1952,45.50553213367609,45.8,187.27775437001614,36.68324249280131,56.06441140152294,0.006753872378270214,0.0,0.0,3.39,0.005939773170039148
12,1952,38.788349030747,38.4,151.8364415430769,31.661566829462775,47.55463290634501,0.008994245684263196,0.0,0.0,3.15,0.007253884120346305
1,1953,41.27097142290137,41.4,192.9925638987603,33.162408813458384,51.38793660257366,0.010381965121225011,0.0,0.0,1.81,0.006615346688498027
2,1953,40.925931625810705,41.1,182.56477246517593,32.14404244790234,51.77776983559686,0.008640299973216678,0.0,0.0,2.24,0.00545140997933856
3,1953,48.16779307260349,48.0,199.9849446720191,39.17672315261144,59.105541198688,0.011558277027027027,0.0,0.0,2.2,0.008991312593027401
4,1953,53.25012079157029,52.9,152.56194290203263,43.71115795968737,64.47058248430587,0.011378588255824098,0.0,0.0,3.39,0.008817820096471045
5,1953,63.56789369100844,63.3,151.3355367724432,53.68301371224165,74.76261612598738,0.010038786750446047,0.0,0.0,2.05,0.007300029527278879
6,1953,72.93811403053276,74.7,120.31551769754331,62.14626656274356,84.58061902783548,0.0077892299648965576,0.0,0.0,2.99,0.0066170123399283505
7,1953,76.33692554685932,77.0,64.54344602867465,65.72877372702621,87.91887199558433,0.009365712214570495,0.0,0.0,3.54,0.010410957661438172
8,1953,74.45907492969064,75.1,66.41952589825816,63.71320365902694,86.29430465571794,0.009400778771271993,0.0,0.0,3.98,0.01188637199622049
9,1953,69.3202897045844,69.7,93.14137335324159,57.459978172747114,82.37523774879176,0.006994839221913457,0.0,0.0,5.39,0.009565255448783167
10,1953,59.738173207718276,59.7,106.98321574770785,48.58249760620874,72.61347249533605,0.005408470116526751,0.0,0.0,2.64,0.005001841161258107
11,1953,48.36812188538206,48.7,124.21797610184296,39.24379088360503,59.56486935743598,0.007020420112713167,0.0,0.0,2.91,0.006114214705225364
12,1953,39.54772247360482,39.5,175.15074774136974,31.396797063555912,49.39844512655362,0.009979568486433475,0.0,0.0,3.07,0.007634466276430024
1,1954,36.42928375773562,37.3,288.50937170834726,28.006515120763144,47.0539371082004,0.008775013050287106,0.0,0.0,2.17,0.005824271485578008
2,1954,44.99742363728413,44.8,172.03959169681437,35.359054852320675,56.994918023550625,0.006937406267266556,0.0,0.0,5.08,0.006442798497250544
3,1954,44.237117903930134,43.4,212.61024561073566,35.13770566727605,55.520254517688976,0.007481352166322806,0.0,0.0,1.61,0.0043784666389777935
4,1954,58.040263713080165,58.8,170.1371244623368,47.78139682204508,70.22873211173892,0.009757527097551184,0.0,0.0,3.86,0.008095814014118727
5,1954,61.875971515768065,61.9,119.89400421913821,51.54824708695873,73.25441041815037,0.009592546775939384,0.0,0.0,2.28,0.007549056887149889
6,1954,72.05699380329432,74.0,115.08302325043819,61.536750052999786,83.57204386522568,0.008711049253846748,0.0,0.0,3.46,0.007899150416877639
7,1954,77.18554847986853,78.3,81.76044647641265,66.15574511819116,89.20234206471495,0.0076092526169387305,0.0,0.0,3.46,0.006798178491249552
8,1954,74.56916499253077,74.4,88.51413672803031,64.37355972379676,86.19692925962183,0.010762240501370935,0.0,0.0,3.03,0.010421535835155276
9,1954,69.77719987262499,70.4,112.4384716875578,59.077191303885606,82.00976840539678,0.007982373078884114,0.0,0.0,8.03,0.012634332148476474
10,1954,58.861691746700224,58.2,165.10147590518017,49.08933086648165,70.54540501644736,0.00796919770773639,0.0,0.0,4.29,0.008443350294076552
11,1954,48.04117213804714,47.7,111.77727777580685,38.90306761378585,59.133745787700086,0.007302009456264776,0.0,0.0,1.97,0.005153843323630816
12,1954,38.87520817369093,37.8,174.46636346820713,30.714825789312354,48.957634485579874,0.00801301417615617,0.0,0.0,2.13,0.005189210862536266
1,1955,36.061323123273915,36.2,216.59092130491157,28.561113552193834,45.123790981032535,0.008190386427898209,0.0,0.0,1.42,0.004316037900866587
2,1955,38.35429632744603,38.5,271.03949300028927,29.714819488257977,48.93108658982288,0.010496027241770714,0.0,0.0,2.6,0.007149453100346623
3,1955,46.491085591015796,46.3,264.6748665942603,37.00439972065266,58.06151739075041,0.008279816513761468,0.0,0.0,1.57,0.004601398900625807
4,1955,57.437347891863446,57.5,145.04614220938,47.46145949858525,68.88746545598104,0.009270137524557957,0.0,0.0,4.49,0.007741318117870847
5,1955,65.34099446106832,65.9,113.71211980558506,55.04930582091453,76.79326114649682,0.010436131215339787,0.0,0.0,3.58,0.009936376795559395
6,1955,69.94272492893502,70.6,88.2947981540684,59.64690435242757,81.01451900826447,0.010623237724842003,0.0,0.0,3.58,0.008374630984654201
7,1955,76.6986202027981,78.5,70.16088699918899,66.90389235018306,87.683627495026,0.011915906001165275,0.0,0.0,2.99,0.011543566007050242
8,1955,76.38703168176853,78.0,61.06400019237634,66.33430501930502,87.56526099254307,0.01399853332111101,0.0,0.0,6.93,0.025338795744089843
9,1955,69.60724178868223,71.3,112.25741210023111,59.45984673317037,80.98882438316402,0.009677161152614728,0.0,0.0,4.8,0.01063147986257975
10,1955,59.223636131340236,59.1,110.15720658221497,48.89524632117722,71.31321008188333,0.012573094401097488,0.0,0.0,4.53,0.01757503699511436
11,1955,45.14756081525312,45.7,242.578703038085,36.29887544390372,55.90330213551279,0.0097195433969691,0.0,0.0,2.24,0.00729110330663139
12,1955,37.75864656872098,37.3,255.72982394090812,30.07185472586185,47.280492930836836,0.007402212564203872,0.0,0.0,1.93,0.004894801757427494
1,1956,36.96953194180899,37.3,207.67725811476944,29.32108292744639,46.37264491605955,0.010640706126687435,0.0,0.0,2.09,0.00626575416379668
2,1956,39.72158128277532,39.7,274.65402624946137,31.528509951586873,49.68468996162391,0.010957913455838767,0.0,0.0,3.27,0.0066895020226792464
3,1956,46.00408522405883,46.2,221.13569041234723,36.14408730657944,57.77297604035309,0.010722362396037754,0.0,0.0,2.95,0.007528197769969959
4,1956,54.039369772417814,53.4,150.01837340644553,44.11714878713192,65.51975709553808,0.008571014772617553,0.0,0.0,2.13,0.0059585024158588995
5,1956,64.95309695912263,65.6,137.02666206026916,54.81949363931155,76.38711105568373,0.01144917970959834,0.0,0.0,2.52,0.00862529241941194
6,1956,72.88545748464274,74.6,95.66081604942538,62.31503978265088,84.24916580444905,0.01035120668607381,0.0,0.0,2.6,0.008237029159184284
7,1956,75.30339879154079,76.1,72.42856527130762,65.38103752203476,86.30626888217523,0.014662024949231215,0.0,0.0,4.33,0.017500497463945493
8,1956,74.66650952291155,75.3,82.86019463627167,64.28256713414251,86.11706795750298,0.009549844926894107,0.0,0.0,2.64,0.009134749487081513
9,1956,68.45698164602113,69.1,110.41674509831392,57.36564895413798,80.71158714703019,0.007855380689068481,0.0,0.0,8.39,0.011663096320160899
10,1956,60.34183080097543,61.1,112.16809874900869,50.56789467100325,71.65002190100745,0.008943638204522443,0.0,0.0,3.19,0.008921844093352551
11,1956,46.6196034249662,46.8,186.24856687851508,37.39399265984161,58.044760247486465,0.006308057705840957,0.0,0.0,4.21,0.0055395046346365905
12,1956,42.82783427495292,42.9,224.98055108810945,34.386212958312406,53.31724116241037,0.008037022753567297,0.0,0.0,2.6,0.005376321838131583
1,1957,34.68968944099379,34.7,367.73255409945835,27.049353957013295,44.119665897899395,0.009120968680870882,0.0,0.0,2.99,0.005614073511124876
2,1957,43.938232871069616,43.4,251.3600012436739,36.23822963878588,53.62229023383769,0.009327986389597765,0.0,0.0,2.05,0.005659161857648833
3,1957,46.614961119751165,46.1,157.64043746738187,38.30782581648523,56.754271481942716,0.011296161448039113,0.0,0.0,2.01,0.007308702645480385
4,1957,55.69358471140853,56.5,171.90838033434574,46.67520592020592,66.42694761260391,0.013364180729450191,0.0,0.0,2.28,0.00975738750168343
5,1957,63.77003965795018,63.8,106.93338316754192,54.62227179773192,74.22861126603459,0.015178553260758978,0.0,0.0,2.76,0.013326578310849423
6,1957,72.29656016490596,73.4,86.8126661285066,62.72282069454288,83.16502190157176,0.015512897420515896,0.0,0.0,3.43,0.01651936994662864
7,1957,76.45384856070088,77.2,69.72618144524196,66.00143956938099,87.7653376729048,0.010776616534964738,0.0,0.0,4.65,0.01331642604732069
8,1957,74.19905136366472,74.5,74.26597588195811,63.92850093691443,85.55467140984834,0.010009275655620204,0.0,0.0,3.9,0.01143389264460091
9,1957,68.23930043803144,68.3,95.35758891984517,58.47263001868918,79.63783992782575,0.011598670851024551,0.0,0.0,3.74,0.012706795072543178
10,1957,56.227337815963146,56.5,116.10613323983648,47.88968372556344,66.24415042649898,0.01029560658108841,0.0,0.0,3.15,0.00946447277519937
11,1957,47.19723824170191,47.0,163.89677994028958,39.70819661625224,56.59318036149212,0.011571923925606808,0.0,0.0,2.28,0.00721688566814557
12,1957,42.83058201058201,42.6,161.98042237663003,34.680943783851085,53.018047595315224,0.011030937740199847,0.0,0.0,2.52,0.007601906220625304
1,1958,37.11895514053484,36.8,164.77586865255367,29.591180486593842,46.639611276701444,0.013082949760062678,0.0,0.0,2.64,0.010570925439917063
2,1958,36.87644392555457,37.9,278.12661952379653,29.269210164835165,46.44009621993127,0.012611556406268693,0.0,0.0,3.5,0.009898407480695263
3,1958,43.622055262340886,42.4,133.77424527886367,36.54127289661596,52.39561572377818,0.014814340588988477,0.0,0.0,2.28,0.010369950974765934
4,1958,55.38834458373513,55.4,130.03031483046337,46.04273498778449,66.33832004116285,0.014419055391206774,0.0,0.0,4.09,0.013026582995353185
5,1958,65.41420144063586,66.0,98.87322375523269,55.07301124014158,76.73621514191666,0.009583143300191554,0.0,0.0,2.36,0.006511110651786353
6,1958,70.88271814268946,70.7,97.35333465778483,61.16612745417781,81.70846650577262,0.014509090909090909,0.0,0.0,4.21,0.01615959533213013
7,1958,75.37871746031746,76.05,67.1971595715725,66.04348488696978,85.99159365079366,0.015698346284120344,0.0,0.0,3.82,0.014771949247040811
8,1958,75.49687261632342,76.2,61.191282571528895,65.51749523204069,86.700800966245,0.01177366702937976,0.0,0.0,4.69,0.01594247819650909
9,1958,68.93420708589358,69.6,94.99120412054232,59.50137290794979,80.07404694958477,0.012190449226123064,0.0,0.0,3.58,0.01100589520278074
10,1958,58.70946330362223,59.1,113.67023601867821,49.08544143688338,70.31462288028348,0.008845324933687003,0.0,0.0,4.76,0.009110554205116979
11,1958,49.05106953620723,49.9,195.84122072570267,40.354124419441355,59.89192355520649,0.010830249549293102,0.0,0.0,2.36,0.007977816978216373
12,1958,37.15866263313796,37.6,250.78018005931366,28.804027987897125,47.8268878935083,0.007331622835150738,0.0,0.0,2.2,0.004623139374721357
1,1959,35.88482500322873,36.55,293.78920851635564,27.586069491087574,46.62811286564846,0.01157258064516129,0.0,0.0,2.01,0.00754083145986839
2,1959,38.90552735073293,39.3,286.30270185467714,30.89999284845884,49.0879722381225,0.013582697201017813,0.0,0.0,1.89,0.00913735987362504
